cod,livello,cod_rip,desc_rip,cod_naz,desc_naz,elettori_t,sezioni_tot,quesito_cod,sezioni_perv,votanti_t,perc_vot,sk_bianche,sk_nulle,sk_contestate,voti_si,voti_no,perc_si,perc_no
1220,nazione,1,EUROPA,220,ALBANIA,3063,2,1,2,1333,"43,52",7,75,0,784,467,"62,67","37,33"
1221,nazione,1,EUROPA,221,ANDORRA,809,1,1,1,151,"18,67",0,5,0,103,43,"70,55","29,45"
1222,nazione,1,EUROPA,222,AUSTRIA,39188,15,1,15,12833,"32,75",84,609,0,3639,8501,"29,98","70,02"
1223,nazione,1,EUROPA,223,BELGIO,254590,96,1,96,43506,"17,09",361,3571,14,15288,24272,"38,65","61,35"
1224,nazione,1,EUROPA,224,BULGARIA,2879,1,1,1,791,"27,47",6,74,0,399,312,"56,12","43,88"
1225,nazione,1,EUROPA,225,REPUBBLICA CECA,6883,3,1,3,2457,"35,70",9,110,0,904,1434,"38,67","61,33"
1226,nazione,1,EUROPA,226,STATO CITTA' DEL VATICANO,0,1,1,1,0,0,0,0,0,0,0,0,0
1227,nazione,1,EUROPA,227,DANIMARCA,15450,6,1,6,4629,"29,96",18,229,0,922,3460,"21,04","78,96"
1228,nazione,1,EUROPA,228,FINLANDIA,4763,2,1,2,2051,"43,06",4,94,0,519,1434,"26,57","73,43"
1229,nazione,1,EUROPA,229,FRANCIA,369455,143,1,141,0,0,0,0,0,41511,58652,"41,44","58,56"
1230,nazione,1,EUROPA,230,GERMANIA,720524,268,1,268,160838,"22,32",1108,13238,50,67869,78573,"46,35","53,65"
1231,nazione,1,EUROPA,231,REGNO UNITO,410645,159,1,155,0,0,0,0,0,37793,59089,"39,01","60,99"
1232,nazione,1,EUROPA,232,GRECIA,11797,5,1,5,4030,"34,16",38,264,0,1364,2364,"36,59","63,41"
1233,nazione,1,EUROPA,233,IRLANDA,25805,9,1,9,8915,"34,55",37,446,0,2749,5683,"32,60","67,40"
1234,nazione,1,EUROPA,234,ISLANDA,678,1,1,1,165,"24,34",0,10,0,19,136,"12,26","87,74"
1236,nazione,1,EUROPA,236,SERBIA,1946,2,1,2,544,"27,95",3,29,0,281,231,"54,88","45,12"
1237,nazione,1,EUROPA,237,LIECHTENSTEIN,1363,2,1,2,426,"31,25",5,42,0,240,139,"63,32","36,68"
1238,nazione,1,EUROPA,238,LUSSEMBURGO,29386,11,1,11,10779,"36,68",127,719,0,3909,6024,"39,35","60,65"
1239,nazione,1,EUROPA,239,MALTA,10150,4,1,4,3378,"33,28",18,178,0,1375,1807,"43,21","56,79"
1240,nazione,1,EUROPA,240,MONACO,6975,3,1,3,3430,"49,18",18,226,0,2512,674,"78,84","21,16"
1241,nazione,1,EUROPA,241,NORVEGIA,8137,3,1,3,2690,"33,06",10,155,0,664,1861,"26,30","73,70"
1242,nazione,1,EUROPA,242,PAESI BASSI,62364,25,1,25,20664,"33,13",56,839,0,5316,14453,"26,89","73,11"
1243,nazione,1,EUROPA,243,POLONIA,8850,3,1,3,3100,"35,03",15,137,0,1306,1642,"44,30","55,70"
1244,nazione,1,EUROPA,244,PORTOGALLO,23956,9,1,9,8690,"36,27",43,469,3,3497,4678,"42,78","57,22"
1245,nazione,1,EUROPA,245,ROMANIA,9203,4,1,4,2321,"25,22",9,236,0,1393,683,"67,10","32,90"
1246,nazione,1,EUROPA,246,SAN MARINO,12834,5,1,5,7914,"61,66",40,457,0,3845,3572,"51,84","48,16"
1248,nazione,1,EUROPA,248,SPAGNA,264837,98,1,98,71523,"27,01",432,3813,84,32376,34818,"48,18","51,82"
1249,nazione,1,EUROPA,249,SVEZIA,17086,7,1,7,5891,"34,48",30,262,2,1405,4192,"25,10","74,90"
1250,nazione,1,EUROPA,250,SVIZZERA,543932,208,1,208,167162,"30,73",1924,10703,6,75948,78581,"49,15","50,85"
1251,nazione,1,EUROPA,251,UNGHERIA,4375,2,1,2,1340,"30,63",13,85,0,669,573,"53,86","46,14"
1252,nazione,1,EUROPA,252,FEDERAZIONE RUSSA,3280,2,1,2,359,"10,95",0,16,0,160,183,"46,65","53,35"
1254,nazione,1,EUROPA,254,LITUANIA,660,1,1,1,256,"38,79",1,8,0,90,157,"36,44","63,56"
1255,nazione,1,EUROPA,255,LETTONIA,514,1,1,1,212,"41,25",0,6,0,92,114,"44,66","55,34"
1256,nazione,1,EUROPA,256,ESTONIA,892,1,1,1,339,"38,00",2,10,0,124,203,"37,92","62,08"
1257,nazione,1,EUROPA,257,BIELORUSSIA,239,1,1,1,82,"34,31",1,3,0,44,34,"56,41","43,59"
1258,nazione,1,EUROPA,258,UCRAINA,0,1,1,1,0,0,0,0,0,0,0,0,0
1259,nazione,1,EUROPA,259,CROAZIA,15916,6,1,6,3058,"19,21",20,306,4,1626,1102,"59,60","40,40"
1308,nazione,1,EUROPA,308,CIPRO,1624,1,1,1,529,"32,57",1,34,0,260,234,"52,63","47,37"
1333,nazione,1,EUROPA,333,TURCHIA,4537,3,1,3,1103,"24,31",3,60,0,520,520,"50,00","50,00"
1450,nazione,1,EUROPA,450,SLOVENIA,4623,4,1,4,1911,"41,34",8,131,0,788,984,"44,47","55,53"
1451,nazione,1,EUROPA,451,BOSNIA-ERZEGOVINA,1026,1,1,1,452,"44,05",3,36,0,248,165,"60,05","39,95"
1452,nazione,1,EUROPA,452,SLOVACCHIA,2323,1,1,1,819,"35,26",2,31,0,373,413,"47,46","52,54"
1453,nazione,1,EUROPA,453,MACEDONIA DEL NORD,588,1,1,1,138,"23,47",0,13,0,73,52,"58,40","41,60"
1458,nazione,1,EUROPA,458,MOLDOVA,854,1,1,1,320,"37,47",2,37,0,204,77,"72,60","27,40"
1471,nazione,1,EUROPA,471,MONTENEGRO,322,1,1,1,81,"25,16",0,2,0,46,33,"58,23","41,77"
1472,nazione,1,EUROPA,472,KOSOVO,351,1,1,1,258,"73,50",1,19,0,175,63,"73,53","26,47"
2260,nazione,2,AMERICA MERIDIONALE,260,ARGENTINA,870882,323,1,309,0,0,0,0,0,203593,78007,"72,30","27,70"
2262,nazione,2,AMERICA MERIDIONALE,262,BOLIVIA,3313,1,1,1,1863,"56,23",35,106,0,1312,410,"76,19","23,81"
2263,nazione,2,AMERICA MERIDIONALE,263,BRASILE,599003,222,1,220,0,0,0,0,0,119156,47480,"71,51","28,49"
2265,nazione,2,AMERICA MERIDIONALE,265,CILE,61258,23,1,23,14387,"23,49",293,999,0,10401,2694,"79,43","20,57"
2266,nazione,2,AMERICA MERIDIONALE,266,COLOMBIA,17512,7,1,7,8629,"49,27",40,1347,0,5405,1837,"74,63","25,37"
2271,nazione,2,AMERICA MERIDIONALE,271,ECUADOR,17042,6,1,6,5275,"30,95",36,760,0,3664,815,"81,80","18,20"
2279,nazione,2,AMERICA MERIDIONALE,279,PARAGUAY,12216,5,1,5,3926,"32,14",42,296,0,2800,788,"78,04","21,96"
2280,nazione,2,AMERICA MERIDIONALE,280,PERU',31464,12,1,12,6696,"21,28",54,421,0,4699,1522,"75,53","24,47"
2282,nazione,2,AMERICA MERIDIONALE,282,TRINIDAD E TOBAGO,71,1,1,1,0,0,0,0,0,0,0,0,0
2283,nazione,2,AMERICA MERIDIONALE,283,URUGUAY,100516,38,1,37,0,0,0,0,0,13210,8117,"61,94","38,06"
2284,nazione,2,AMERICA MERIDIONALE,284,VENEZUELA,96435,36,1,36,35377,"36,68",161,3669,86,27481,3980,"87,35","12,65"
2285,nazione,2,AMERICA MERIDIONALE,285,GUYANA,5,1,1,1,0,0,0,0,0,0,0,0,0
2288,nazione,2,AMERICA MERIDIONALE,288,SURINAME,0,1,1,1,0,0,0,0,0,0,0,0,0
3261,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,261,BAHAMAS,267,1,1,1,52,"19,48",0,2,0,35,15,"70,00","30,00"
3264,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,264,CANADA,127995,50,1,50,28685,"22,41",193,2377,0,16087,10028,"61,60","38,40"
3267,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,267,COSTA RICA,5804,2,1,2,1133,"19,52",5,47,0,662,419,"61,24","38,76"
3268,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,268,CUBA,27,1,1,0,0,0,0,0,0,0,0,0,0
3269,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,269,REPUBBLICA DOMINICANA,7976,3,1,3,1026,"12,86",9,124,0,608,285,"68,09","31,91"
3270,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,270,EL SALVADOR,2500,1,1,1,745,"29,80",7,93,0,510,135,"79,07","20,93"
3272,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,272,GIAMAICA,100,1,1,1,33,"33,00",0,0,0,5,28,"15,15","84,85"
3273,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,273,GUATEMALA,5303,2,1,2,1539,"29,02",4,208,0,954,373,"71,89","28,11"
3275,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,275,HONDURAS,1175,1,1,1,627,"53,36",9,2,0,499,117,"81,01","18,99"
3276,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,276,MESSICO,18859,7,1,7,4569,"24,23",18,276,0,2627,1648,"61,45","38,55"
3277,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,277,NICARAGUA,1287,1,1,1,528,"41,03",12,4,0,368,144,"71,88","28,13"
3278,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,278,PANAMA,7910,3,1,3,2850,"36,03",4,109,0,2077,660,"75,89","24,11"
3281,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,281,STATI UNITI D'AMERICA,302704,114,1,112,0,0,0,0,0,32223,27496,"53,96","46,04"
3286,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,286,BARBADOS,56,1,1,1,20,"35,71",0,0,0,4,16,"20,00","80,00"
3287,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,287,BELIZE,22,1,1,1,0,0,0,0,0,0,0,0,0
3289,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,289,GRENADA,0,1,1,1,0,0,0,0,0,0,0,0,0
3294,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,294,ANTIGUA E BARBUDA,0,1,1,1,0,0,0,0,0,0,0,0,0
3295,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,295,SAINT LUCIA,0,1,1,1,0,0,0,0,0,0,0,0,0
3296,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,296,SAINT VINCENT E GRENADINE,0,1,1,1,0,0,0,0,0,0,0,0,0
3297,nazione,3,AMERICA SETTENTRIONALE E CENTRALE,297,SAINT KITTS E NEVIS,3,1,1,1,0,0,0,0,0,0,0,0,0
4290,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",290,SAMOA,0,1,1,1,0,0,0,0,0,0,0,0,0
4291,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",291,TONGA,0,1,1,1,0,0,0,0,0,0,0,0,0
4292,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",292,VANUATU,0,1,1,1,0,0,0,0,0,0,0,0,0
4301,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",301,ARABIA SAUDITA,1744,3,1,3,562,"32,22",5,28,0,220,309,"41,59","58,41"
4302,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",302,AUSTRALIA,151247,68,1,67,0,0,0,0,0,12445,11198,"52,64","47,36"
4304,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",304,MYANMAR,62,1,1,1,37,"59,68",0,1,0,3,33,"8,33","91,67"
4305,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",305,CAMBOGIA,193,1,1,1,99,"51,30",0,11,0,37,51,"42,05","57,95"
4306,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",306,SRI LANKA,318,1,1,1,141,"44,34",0,20,0,73,48,"60,33","39,67"
4307,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",307,REPUBBLICA POPOLARE CINESE,6198,5,1,5,2712,"43,76",15,149,0,1038,1510,"40,74","59,26"
4309,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",309,REPUBBLICA DI COREA,819,1,1,1,313,"38,22",1,10,0,82,220,"27,15","72,85"
4310,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",310,FILIPPINE,1705,1,1,1,559,"32,79",7,67,0,267,218,"55,05","44,95"
4311,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",311,GIAPPONE,5563,3,1,3,2564,"46,09",40,126,0,800,1598,"33,36","66,64"
4312,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",312,GIORDANIA,1066,1,1,1,319,"29,92",2,15,0,114,188,"37,75","62,25"
4313,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",313,INDIA,882,4,1,4,333,"37,76",0,14,0,106,213,"33,23","66,77"
4314,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",314,INDONESIA,1412,2,1,2,377,"26,70",0,32,0,159,186,"46,09","53,91"
4316,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",316,IRAQ,0,2,1,2,0,0,0,0,0,0,0,0,0
4317,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",317,ISRAELE,14047,5,1,5,174,"1,24",4,20,0,107,43,"71,33","28,67"
4318,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",318,KUWAIT,570,1,1,0,0,0,0,0,0,0,0,0,0
4319,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",319,LAOS,57,1,1,1,41,"71,93",1,6,0,16,18,"47,06","52,94"
4320,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",320,LIBANO,2232,1,1,1,899,"40,28",14,35,0,537,313,"63,18","36,82"
4321,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",321,MALAYSIA,810,1,1,1,204,"25,19",1,8,0,79,116,"40,51","59,49"
4322,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",322,MONGOLIA,0,1,1,1,0,0,0,0,0,0,0,0,0
4323,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",323,NEPAL,54,1,1,1,24,"44,44",0,1,0,9,14,"39,13","60,87"
4324,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",324,NUOVA ZELANDA,6105,3,1,3,1365,"22,36",7,128,0,458,772,"37,24","62,76"
4325,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",325,OMAN,258,1,1,1,49,"18,99",0,2,0,23,24,"48,94","51,06"
4326,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",326,PAKISTAN,289,2,1,2,152,"52,60",3,16,0,75,58,"56,39","43,61"
4327,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",327,QATAR,1857,1,1,1,476,"25,63",2,8,0,241,225,"51,72","48,28"
4329,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",329,SINGAPORE,2798,1,1,1,926,"33,10",4,45,0,366,511,"41,73","58,27"
4330,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",330,SIRIA,0,1,1,1,0,0,0,0,0,0,0,0,0
4331,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",331,THAILANDIA,5304,2,1,1,0,0,0,0,0,438,400,"52,27","47,73"
4337,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",337,VIETNAM,800,2,1,2,275,"34,38",0,12,0,115,148,"43,73","56,27"
4338,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",338,BANGLADESH,436,1,1,1,331,"75,92",5,44,0,163,119,"57,80","42,20"
4339,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",339,FIGI,0,1,1,1,0,0,0,0,0,0,0,0,0
4340,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",340,EMIRATI ARABI UNITI,12506,5,1,5,844,"6,75",3,34,0,417,390,"51,67","48,33"
4341,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",341,BAHREIN,384,1,1,0,0,0,0,0,0,0,0,0,0
4342,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",342,MALDIVE,0,1,1,1,0,0,0,0,0,0,0,0,0
4343,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",343,PAPUA NUOVA GUINEA,0,1,1,1,0,0,0,0,0,0,0,0,0
4344,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",344,ISOLE SALOMONE,0,1,1,1,0,0,0,0,0,0,0,0,0
4345,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",345,TAIWAN,679,1,1,1,276,"40,65",3,51,0,95,127,"42,79","57,21"
4348,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",348,KAZAKHSTAN,195,1,1,1,76,"38,97",1,10,0,31,34,"47,69","52,31"
4349,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",349,UZBEKISTAN,53,1,1,1,30,"56,60",0,1,0,13,16,"44,83","55,17"
4350,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",350,ALGERIA,673,1,1,1,393,"58,40",45,56,0,133,159,"45,55","54,45"
4351,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",351,BURKINA FASO,0,1,1,1,0,0,0,0,0,0,0,0,0
4352,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",352,BURUNDI,37,1,1,1,23,"62,16",1,0,0,8,14,"36,36","63,64"
4353,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",353,CAMERUN,251,1,1,1,149,"59,36",1,9,0,69,70,"49,64","50,36"
4355,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",355,CONGO,152,1,1,1,119,"78,29",1,30,0,41,47,"46,59","53,41"
4356,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",356,REPUBBLICA DEMOCRATICA DEL CONGO,344,1,1,1,96,"27,91",1,1,0,63,31,"67,02","32,98"
4357,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",357,COSTA D'AVORIO,132,1,1,0,0,0,0,0,0,0,0,0,0
4358,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",358,BENIN,0,1,1,1,0,0,0,0,0,0,0,0,0
4359,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",359,ETIOPIA,1001,1,1,1,203,"20,28",2,20,0,80,101,"44,20","55,80"
4360,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",360,GABON,139,1,1,1,33,"23,74",1,0,0,17,15,"53,13","46,88"
4361,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",361,GAMBIA,0,1,1,1,0,0,0,0,0,0,0,0,0
4362,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",362,GHANA,493,1,1,1,194,"39,35",1,16,0,114,63,"64,41","35,59"
4363,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",363,GUINEA,0,1,1,1,0,0,0,0,0,0,0,0,0
4364,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",364,KENYA,1421,1,1,1,319,"22,45",2,15,0,114,188,"37,75","62,25"
4366,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",366,LIBIA,14,2,1,1,0,0,0,0,0,0,0,0,0
4367,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",367,MADAGASCAR,379,1,1,1,116,"30,61",1,4,0,63,48,"56,76","43,24"
4368,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",368,MALAWI,83,1,1,1,43,"51,81",1,3,0,19,20,"48,72","51,28"
4369,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",369,MALI,0,1,1,1,0,0,0,0,0,0,0,0,0
4370,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",370,MAROCCO,4226,3,1,3,1245,"29,46",17,122,0,525,581,"47,47","52,53"
4371,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",371,MAURITANIA,0,1,1,1,0,0,0,0,0,0,0,0,0
4372,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",372,NIGER,0,1,1,1,0,0,0,0,0,0,0,0,0
4373,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",373,NIGERIA,605,2,1,2,236,"39,01",1,8,0,149,78,"65,64","34,36"
4374,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",374,EGITTO,4738,2,1,2,1111,"23,45",7,121,0,522,461,"53,10","46,90"
4376,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",376,ZIMBABWE,1,1,1,1,0,0,0,0,0,0,0,0,0
4377,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",377,RUANDA,93,1,1,1,61,"65,59",1,4,0,21,35,"37,50","62,50"
4378,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",378,SENEGAL,1349,2,1,2,473,"35,06",7,148,0,84,234,"26,42","73,58"
4380,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",380,SOMALIA,84,1,1,1,67,"79,76",0,1,0,41,25,"62,12","37,88"
4381,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",381,SUD AFRICA,27588,11,1,11,8848,"32,07",101,1627,0,5484,1636,"77,02","22,98"
4382,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",382,SUDAN,1,1,1,1,0,0,0,0,0,0,0,0,0
4383,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",383,TANZANIA,473,1,1,1,302,"63,85",8,24,0,81,189,"30,00","70,00"
4384,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",384,TOGO,68,1,1,1,64,"94,12",4,12,0,16,32,"33,33","66,67"
4385,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",385,TUNISIA,6158,2,1,2,1846,"29,98",3,97,0,926,820,"53,04","46,96"
4386,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",386,UGANDA,224,1,1,1,132,"58,93",0,5,0,30,97,"23,62","76,38"
4387,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",387,ZAMBIA,373,1,1,1,172,"46,11",2,11,0,95,64,"59,75","40,25"
4388,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",388,NAMIBIA,193,1,1,1,66,"34,20",0,0,0,31,35,"46,97","53,03"
4389,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",389,BOTSWANA,63,1,1,1,21,"33,33",0,2,0,12,7,"63,16","36,84"
4390,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",390,MAURITIUS,610,1,1,1,212,"34,75",2,16,0,128,66,"65,98","34,02"
4391,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",391,GUINEA EQUATORIALE,0,1,1,1,0,0,0,0,0,0,0,0,0
4392,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",392,MOZAMBICO,535,1,1,1,319,"59,63",0,21,0,91,207,"30,54","69,46"
4393,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",393,ANGOLA,183,1,1,1,99,"54,10",0,9,0,35,55,"38,89","61,11"
4394,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",394,COMORE,4,1,1,1,0,0,0,0,0,0,0,0,0
4395,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",395,GIBUTI,201,1,1,1,160,"79,60",0,4,0,122,34,"78,21","21,79"
4396,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",396,SEYCHELLES,257,1,1,1,23,"8,95",1,1,0,11,10,"52,38","47,62"
4397,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",397,CAPO VERDE,386,1,1,1,85,"22,02",0,17,0,35,33,"51,47","48,53"
4398,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",398,GUINEA BISSAU,0,1,1,1,0,0,0,0,0,0,0,0,0
4399,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",399,ESWATINI,49,1,1,1,27,"55,10",0,1,0,25,1,"96,15","3,85"
4400,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",400,SAO TOME' E PRINCIPE,0,1,1,1,0,0,0,0,0,0,0,0,0
4401,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",401,LESOTHO,0,1,1,1,0,0,0,0,0,0,0,0,0
4402,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",402,ERITREA,241,1,1,1,65,"26,97",0,5,0,37,23,"61,67","38,33"
4454,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",454,ARMENIA,99,1,1,1,42,"42,42",0,3,0,16,23,"41,03","58,97"
4455,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",455,AZERBAIGIAN,70,1,1,1,27,"38,57",0,2,0,14,11,"56,00","44,00"
4456,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",456,GEORGIA,219,1,1,1,83,"37,90",1,3,0,37,42,"46,84","53,16"
4457,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",457,KIRGHIZISTAN,26,1,1,1,20,"76,92",0,4,0,5,11,"31,25","68,75"
4459,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",459,TAGIKISTAN,0,1,1,1,0,0,0,0,0,0,0,0,0
4460,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",460,TURKMENISTAN,0,1,1,1,0,0,0,0,0,0,0,0,0
4461,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",461,BRUNEI,0,1,1,1,0,0,0,0,0,0,0,0,0
4463,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",463,ISOLE MARSHALL,2,1,1,1,0,0,0,0,0,0,0,0,0
4464,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",464,STATI FEDERATI DI MICRONESIA,0,1,1,1,0,0,0,0,0,0,0,0,0
4466,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",466,PALAU,3,1,1,1,0,0,0,0,0,0,0,0,0
4468,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",468,TIMOR ORIENTALE,0,1,1,1,0,0,0,0,0,0,0,0,0
4888,nazione,4,"AFRICA, ASIA, OCEANIA E ANTARTIDE",888,CIRCOSCRIZIONE AUTONOMA,2578,1,1,1,302,"11,71",3,7,0,155,137,"53,08","46,92"
